time_us,sda,scl,note
4102.50,1,0,
4107.50,0,0,
4107.50,0,1,
4112.50,0,0,
4117.50,0,0,
4117.50,0,1,
4122.50,0,0,
4127.50,0,0,
4127.50,0,1,
4132.50,0,0,
4137.50,0,0,
4137.50,0,1,
4142.50,0,0,
4147.50,0,0,
4147.50,0,1,
4152.50,0,0,
4157.50,1,0,
4157.50,1,1,
4162.50,1,0,
4165.00,1,0,
4170.00,0,0,
4170.00,0,1,
4180.00,1,1,
4185.00,1,1,
4190.00,0,1,
4190.00,0,0,
4192.50,1,0,
4192.50,1,1,
4197.50,1,0,
4202.50,0,0,
4202.50,0,1,
4207.50,0,0,
4212.50,1,0,
4212.50,1,1,
4217.50,1,0,
4222.50,0,0,
4222.50,0,1,
4227.50,0,0,
4232.50,0,0,
4232.50,0,1,
4237.50,0,0,
4242.50,0,0,
4242.50,0,1,
4247.50,0,0,
4252.50,0,0,
4252.50,0,1,
4257.50,0,0,
4262.50,0,0,
4262.50,0,1,
4267.50,0,0,
4272.50,1,0,
4272.50,1,1,
4277.50,1,0,
4280.00,1,0,
4285.00,0,0,
4285.00,0,1,
4295.00,1,1,
4300.00,1,1,
4305.00,0,1,
4305.00,0,0,
4307.50,1,0,
4307.50,1,1,
4312.50,1,0,
4317.50,0,0,
4317.50,0,1,
4322.50,0,0,
4327.50,1,0,
4327.50,1,1,
4332.50,1,0,
4337.50,0,0,
4337.50,0,1,
4342.50,0,0,
4347.50,0,0,
4347.50,0,1,
4352.50,0,0,
4357.50,0,0,
4357.50,0,1,
4362.50,0,0,
4367.50,0,0,
4367.50,0,1,
4372.50,0,0,
4377.50,0,0,
4377.50,0,1,
4382.50,0,0,
4387.50,1,0,
4387.50,1,1,
4392.50,1,0,
4395.00,1,0,
4400.00,0,0,
4400.00,0,1,
4410.00,1,1,
4415.00,1,1,
4420.00,0,1,
4420.00,0,0,
4422.50,1,0,
4422.50,1,1,
4427.50,1,0,
4432.50,0,0,
4432.50,0,1,
4437.50,0,0,
4442.50,1,0,
4442.50,1,1,
4447.50,1,0,
4452.50,0,0,
4452.50,0,1,
4457.50,0,0,
4462.50,0,0,
4462.50,0,1,
4467.50,0,0,
4472.50,0,0,
4472.50,0,1,
4477.50,0,0,
4482.50,0,0,
4482.50,0,1,
4487.50,0,0,
4492.50,0,0,
4492.50,0,1,
4497.50,0,0,
4502.50,1,0,
4502.50,1,1,
4507.50,1,0,
4510.00,1,0,
4515.00,0,0,
4515.00,0,1,
4525.00,1,1,
4530.00,1,1,
4535.00,0,1,
4535.00,0,0,
4537.50,1,0,
4537.50,1,1,
4542.50,1,0,
4547.50,0,0,
4547.50,0,1,
4552.50,0,0,
4557.50,1,0,
4557.50,1,1,
4562.50,1,0,
4567.50,0,0,
4567.50,0,1,
4572.50,0,0,
4577.50,0,0,
4577.50,0,1,
4582.50,0,0,
4587.50,0,0,
4587.50,0,1,
4592.50,0,0,
4597.50,0,0,
4597.50,0,1,
4602.50,0,0,
4607.50,0,0,
4607.50,0,1,
4612.50,0,0,
4617.50,1,0,
4617.50,1,1,
4622.50,1,0,
4625.00,1,0,
4630.00,0,0,
4630.00,0,1,
4640.00,1,1,
4645.00,1,1,
4650.00,0,1,
4650.00,0,0,
4652.50,1,0,
4652.50,1,1,
4657.50,1,0,
4662.50,0,0,
4662.50,0,1,
4667.50,0,0,
4672.50,1,0,
4672.50,1,1,
4677.50,1,0,
4682.50,0,0,
4682.50,0,1,
4687.50,0,0,
4692.50,0,0,
4692.50,0,1,
4697.50,0,0,
4702.50,0,0,
4702.50,0,1,
4707.50,0,0,
4712.50,0,0,
4712.50,0,1,
4717.50,0,0,
4722.50,0,0,
4722.50,0,1,
4727.50,0,0,
4732.50,1,0,
4732.50,1,1,
4737.50,1,0,
4740.00,1,0,
4745.00,0,0,
4745.00,0,1,
4755.00,1,1,
4760.00,1,1,
4765.00,0,1,
4765.00,0,0,
4767.50,1,0,
4767.50,1,1,
4772.50,1,0,
4777.50,0,0,
4777.50,0,1,
4782.50,0,0,
4787.50,1,0,
4787.50,1,1,
4792.50,1,0,
